 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ecuador,"18,327,764,882.40","24,468,324,000.00","28,548,945,000.00","32,432,859,000.00","36,591,661,000.00","41,507,085,000.00","46,802,044,000.00","51,007,777,000.00","61,762,635,000.00","62,519,686,000.00","69,555,367,000.00","79,276,664,000.00","87,924,544,000.00","95,129,659,000.00","102,292,260,000.00","100,176,808,000.00"
"Egypt, Arab Rep.","99,838,543,960.10","97,632,008,709.90","87,850,683,978.70","82,924,503,942.60","78,845,185,293.50","89,685,725,230.30","107,484,034,871.00","130,478,960,092.50","162,818,181,818.20","188,982,374,700.80","218,888,324,504.80","236,001,858,960.00","279,372,758,361.80","288,586,231,501.90","305,529,656,458.40","332,698,041,030.80"
El Salvador,"13,134,100,000.00","13,812,700,000.00","14,306,700,000.00","15,046,700,000.00","15,798,300,000.00","17,093,800,000.00","18,550,700,000.00","20,104,900,000.00","21,430,950,000.00","20,661,030,000.00","21,418,330,000.00","23,139,040,000.00","23,813,600,000.00","24,350,930,000.00","25,054,230,000.00","26,052,340,000.00"
Equatorial Guinea,"1,045,998,496.40","1,461,139,022.00","1,806,742,742.30","2,484,745,935.10","4,410,764,338.70","8,217,369,092.70","10,086,528,698.90","13,071,718,758.70","19,749,893,536.30","15,027,795,173.20","16,298,542,028.00","21,329,395,900.90","22,389,627,294.40","21,942,597,765.40","21,461,989,483.10","12,162,117,377.40"
Eritrea,"706,370,815.60","752,368,495.50","729,321,366.70","870,247,703.20","1,109,054,005.40","1,098,425,900.70","1,211,161,879.70","1,317,974,491.10","1,380,188,800.00","1,856,695,551.20","2,117,039,512.20","2,607,739,837.40",,,,
Estonia,"5,685,774,808.80","6,245,069,734.10","7,322,069,511.20","9,833,870,709.10","12,059,201,242.20","14,006,088,297.50","16,963,625,015.70","22,237,061,730.10","24,194,039,255.90","19,652,492,636.80","19,490,936,349.20","23,170,239,900.80","23,043,864,510.10","25,081,185,830.70","26,213,940,386.80","22,460,470,490.00"
Ethiopia,"8,242,392,103.70","8,231,326,016.50","7,850,809,498.20","8,623,691,300.00","10,131,187,261.40","12,401,139,454.00","15,280,861,834.60","19,707,616,772.80","27,066,912,635.20","32,437,389,116.00","29,933,790,334.30","31,952,763,089.30","43,310,721,414.10","47,648,211,133.20","55,612,228,233.50","64,464,423,674.70"
Faroe Islands,"1,062,339,943.80","1,154,899,793.30","1,268,445,919.40","1,486,861,879.00","1,683,997,930.30","1,730,891,409.10","1,970,142,377.90","2,278,229,533.10","2,413,237,402.10","2,257,097,731.60","2,301,178,416.00","2,468,748,768.00","2,356,505,419.10","2,613,458,942.50",,
Fiji,"1,684,109,743.50","1,660,102,345.60","1,842,691,481.10","2,315,935,752.70","2,727,507,212.90","3,006,725,014.80","3,102,741,451.00","3,405,050,611.70","3,523,185,919.60","2,870,624,635.70","3,140,508,835.90","3,774,530,615.70","3,972,012,570.50","4,190,143,206.30","4,469,810,099.10","4,391,064,780.80"
Finland,"125,539,893,127.00","129,250,111,856.80","139,552,983,248.60","171,071,106,094.80","196,768,065,557.50","204,436,015,421.00","216,552,502,822.70","255,384,615,384.60","283,742,493,042.30","251,499,027,507.60","247,799,815,768.50","273,674,236,772.80","256,706,466,091.10","269,980,111,642.90","272,609,288,689.60","232,361,689,855.10"
France,"1,368,438,363,736.90","1,382,218,344,519.00","1,500,337,850,555.20","1,848,124,153,498.90","2,124,112,242,364.00","2,203,678,646,934.50","2,325,011,918,203.50","2,663,112,510,265.50","2,923,465,651,091.30","2,693,827,452,070.00","2,646,837,111,794.80","2,862,680,142,625.10","2,681,416,108,537.40","2,808,511,203,185.40","2,849,305,322,684.80","2,433,562,015,516.20"
French Polynesia,"3,447,543,137.90",,,,,,,,,,,,,,,
Gabon,"5,067,865,320.80","5,018,874,179.20","5,310,381,151.40","6,497,305,662.10","7,756,293,575.00","9,458,884,812.20","10,154,041,929.70","12,438,956,756.40","15,508,574,820.40","12,065,138,272.80","14,358,584,300.30","18,186,478,120.00","17,171,447,372.30","17,590,716,232.50","18,179,717,776.20","14,262,032,470.90"
"Gambia, The","782,915,402.40","687,408,804.60","578,236,035.10","487,038,821.60","578,785,278.80","624,174,723.70","655,068,696.00","798,870,894.20","965,769,128.20","900,639,747.90","952,429,030.40","904,256,643.40","912,569,686.80","903,779,326.20","849,122,624.80","938,794,719.40"
Georgia,"3,057,453,482.60","3,219,487,824.90","3,395,778,673.80","3,991,374,548.50","5,125,273,880.70","6,410,941,012.60","7,745,406,200.90","10,172,869,679.70","12,795,044,472.80","10,766,809,099.10","11,638,536,834.40","14,434,619,982.20","15,846,474,595.80","16,140,047,012.10","16,509,305,827.70","13,993,546,732.50"
Germany,"1,949,953,934,033.50","1,950,648,769,574.90","2,079,136,081,310.00","2,505,733,634,311.50","2,819,245,095,604.70","2,861,410,272,354.20","3,002,446,368,084.30","3,439,953,462,907.20","3,752,365,607,148.10","3,418,005,001,389.30","3,417,094,562,649.00","3,757,698,281,117.60","3,543,983,909,148.00","3,752,513,503,278.40","3,879,276,587,198.90","3,363,599,907,529.80"
Ghana,"4,983,024,408.10","5,314,909,953.90","6,166,330,136.30","7,632,406,552.80","8,881,368,538.10","10,731,634,116.70","20,409,257,610.50","24,758,819,717.70","28,526,891,010.50","25,977,847,813.70","32,174,772,956.00","39,566,292,432.90","41,939,728,978.70","47,805,069,494.90","38,616,536,131.60","37,543,361,203.60"
Gibraltar,,,,,,,,,,,,,,,,
Greece,"130,133,845,771.10","136,191,353,467.60","153,830,947,016.80","201,924,270,316.00","240,521,260,988.30","247,783,001,865.40","273,317,737,046.80","318,497,936,901.20","354,460,802,548.70","330,000,252,153.40","299,361,576,558.20","287,797,822,093.20","245,670,666,639.00","239,862,011,450.10","236,079,774,688.40","194,860,187,692.50"
Greenland,"1,068,030,829.80","1,086,172,922.60","1,169,138,789.30","1,407,866,174.80","1,621,822,369.80","1,656,172,355.70","1,818,759,669.10","2,049,139,372.10","2,310,743,218.10","2,324,870,823.90","2,306,502,373.70","2,515,245,776.40","2,408,666,378.90","2,483,396,542.20","2,551,126,948.80","2,220,380,802.30"
Grenada,"520,044,370.40","520,444,185.20","540,336,925.90","591,018,407.40","599,118,592.60","695,370,296.30","698,518,518.50","758,518,518.50","825,925,925.90","771,278,111.10","771,015,888.90","778,648,666.70","799,882,148.10","842,571,333.30","911,481,481.50","984,074,074.10"
Guam,,,"3,385,000,000.00","3,560,000,000.00","3,857,000,000.00","4,197,000,000.00","4,213,000,000.00","4,375,000,000.00","4,621,000,000.00","4,781,000,000.00","4,895,000,000.00","4,928,000,000.00","5,199,000,000.00","5,364,000,000.00","5,566,000,000.00","5,734,000,000.00"
Guatemala,"19,288,926,545.40","18,702,802,394.80","20,776,669,466.60","21,917,706,490.50","23,965,275,995.70","27,211,377,225.30","30,231,249,362.10","34,113,107,085.60","39,136,893,345.20","37,733,994,976.40","41,338,595,380.80","47,654,841,112.90","50,388,454,861.10","53,851,058,955.30","58,722,323,918.20","63,767,597,193.90"
Guinea,"2,995,360,969.20","2,833,442,750.40","2,949,637,039.00","3,446,442,218.90","3,666,349,049.40","2,937,071,767.30","2,931,625,104.50","4,134,173,275.10","4,515,824,647.40","4,609,923,756.20","4,735,956,493.10","5,067,360,009.40","5,667,229,759.00","6,231,725,484.60","6,624,068,015.50","6,699,203,543.30"
Guinea-Bissau,"370,173,851.90","392,278,168.20","415,843,482.00","476,388,260.60","531,109,356.20","586,791,883.70","591,829,908.40","695,606,288.60","864,136,713.00","825,828,703.60","846,332,456.40","1,105,497,854.80","995,582,062.30","1,026,664,188.50","1,109,007,299.90","1,056,776,896.90"
Guyana,"712,667,896.70","696,281,471.70","722,460,886.40","741,929,342.80","785,918,769.60","824,880,550.30","1,458,446,872.30","1,740,334,781.80","1,922,598,121.20","2,025,565,089.50","2,259,288,396.20","2,576,602,497.30","2,851,154,076.00","2,990,006,533.80","3,077,086,275.90","3,179,104,116.20"
Haiti,"3,953,839,593.80","3,596,448,035.40","3,472,194,099.40","2,960,306,120.90","3,537,721,020.40","4,310,356,252.80","4,756,204,069.60","5,885,321,655.90","6,548,530,572.40","6,584,649,419.30","6,622,541,528.60","7,516,834,160.30","7,890,216,507.70","8,452,509,315.90","8,776,360,623.30","8,724,656,126.50"
Honduras,"7,103,529,494.40","7,565,869,927.70","7,775,078,402.90","8,140,271,080.60","8,772,194,250.30","9,672,035,709.40","10,841,742,347.80","12,275,501,784.30","13,789,715,132.50","14,587,496,229.20","15,839,344,592.00","17,710,275,997.40","18,528,554,861.00","18,499,729,063.40","19,756,533,658.10","20,844,308,600.90"
"Hong Kong SAR, China","171,668,164,082.60","169,403,241,524.30","166,349,228,737.40","161,384,522,525.30","169,099,768,875.20","181,570,082,162.20","193,536,265,094.40","211,597,405,593.90","219,279,678,430.20","214,046,415,026.20","228,637,697,575.00","248,513,617,677.30","262,629,441,493.50","275,696,879,835.00","291,459,356,985.30","309,403,880,389.10"
